query,title,url,description,url_photo
самсунг,Смартфон Samsung Galaxy S25 Ultra 5G 12/256GB Titanium Gray,https://megamarket.ru/catalog/details/smartfon-samsung-galaxy-s25-ultra-5g-12-256gb-titanium-gray-100073744126/,"Отличный телефон, у меня версия на эксинос, все летает. Очень яркий экран, приятный дизайн, вес небольшой.
Цвет Marble Grey очень красивый, однако, если носить в чехле, то видно не будет. Прозрачный чехол дешевит телефон",https://main-cdn.sbermegamarket.ru/big2/hlr-system/436/352/496/226/169/100066351023b1.jpg
HUAWEI Watch Fit 2,Смарт-часы HUAWEI Watch Fit 2 Classic Edition лунный белый,https://megamarket.ru/catalog/details/smart-chasy-huawei-watch-fit-2-classic-edition-lunnyy-belyy-100034672650_79712/,количества калорий; количества шагов; продолжительности сна; сердечного ритма; уровня кислорода в крови; физической активности,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-12/064/048/188/121/938/100034672650b0.jpg
HUAWEI Watch Fit 2,Умная колонка Яндекс Новая Станция Мини (с часами) Black (YNDX-00020K),https://megamarket.ru/catalog/details/umnaya-kolonka-yandeks-novaya-stanciya-mini-s-chasami-black-yndx-00020k-100029400053/,"Одним из главных плюсов умной колонки Яндекс Новая Станция Мини является ее функциональность. Она поддерживает голосовое управление, что делает ее очень удобной в использовании. Вы можете просить колонку включить музыку, регулировать громкость, задавать вопросы, заказывать такси, узнавать новости и многое другое, просто используя свой голос. Это особенно удобно, когда вам заняты руками или вы находитесь на некотором расстоянии от колонки.",https://main-cdn.sbermegamarket.ru/big2/hlr-system/166/672/987/211/262/015/100029400053b2.jpg
insta 360 x4,Смарт-часы Huawei Watch 4 Pro серый (55020BXM),https://megamarket.ru/catalog/details/smart-chasy-huawei-watch-4-pro-seryy-55020bxm-600022971270/,"Смарт-часы HUAWEI WATCH 4 Pro LTE SE Grey предоставляют широкий набор функций, направленных на мониторинг здоровья и улучшение удобства пользования смартфоном. Основные характеристики и возможности устройства включают:

",https://main-cdn.sbermegamarket.ru/big2/hlr-system/978/424/544/121/217/17/600022971270b0.jpg
гречка в пакетиках,"Крупа гречневая PROSTO в варочных пакетиках, 8 порций, 500 г",https://megamarket.ru/catalog/details/krupa-grechnevaya-prosto-yadrica-kalibrovannaya-v-paketikah-8x625-g-100023360997_13079/#?related_search=%D0%B3%D1%80%D0%B5%D1%87%D0%BA%D0%B0%20%D0%B2%20%D0%BF%D0%B0%D0%BA%D0%B5%D1%82%D0%B8%D0%BA%D0%B0%D1%85,"Крупа гречневая ядрица быстроразваривающаяся, калиброванная. Сорт высший. Может содержать следы глютена",https://main-cdn.sbermegamarket.ru/big2/hlr-system/-10/777/660/881/122/250/100023360997b0.jpg
choco pie,Пирожное choco pie Lotte 336 г,https://megamarket.ru/catalog/details/pirozhnoe-choco-pie-lotte-336-g-100023631696/,"мука пшеничная хлебопекарная в/с, сахар-песок, вода питьевая, глюкозный сироп (патока крахмальная высокоосахаренная), жир кондитерский, масло растительное, какао-порошок",https://main-cdn.sbermegamarket.ru/big2/hlr-system/151/401/150/113/011/10/100023631696b0.jpg
Плечики ,Плечики для одежды Guten Tag бархатные 45 см ZR1501,https://megamarket.ru/promo-page/details/#?slug=plechiki-dlya-odezhdy-guten-tag-barhatnye-45-sm-zr1501-100032636682&merchantId=6857,"Не стандартный цвет, отсутствует малая перекладина для поясов как в аналогах, и причём черных и дешевле. Не понравилось ещё то что изначально я заказывала семь вешалок из семи возможных из ""улыбка радуги"", в наличии оказалось всего две штуки, при этом заказ мне не отменяли, это возмутительно, хотя я ссылалась на то что сам магазин мне отменил преимущественное количество",https://main-cdn.sbermegamarket.ru/big2/hlr-system/-10/269/027/177/201/445/100032636682b0.jpg
500 г,"Бананы, 500 г",https://megamarket.ru/catalog/details/banany-100028181159/,"Бананы - это не только вкусный фрукт, но и источник множества питательных веществ. Вот несколько ключевых аспектов, которые стоит учитывать при выборе и употреблении бананов:",https://main-cdn.sbermegamarket.ru/big2/hlr-system/108/037/391/812/519/7/100028181159b0.jpg
циркулярка,"Циркулярная пила аккумуляторная Greenworks GD24CS, 24V, бесщеточная, без АКБ и ЗУ 1500907",https://megamarket.ru/catalog/details/cirkulyarnaya-pila-akkumulyatornaya-greenworks-gd24cs-24v-besshetochnaya-bez-akb-i-zu-100028104643/,лазерная направляющая; пылеотвод для пылесоса; регулировка оборотов,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-16/342/187/331/115/202/4/100028104643b0.png
Nidecker ,Сноуборд Nidecker Play (См:159W) 2023-24,https://megamarket.ru/catalog/details/snoubord-nidecker-play-sm159w-2023-24-100068651141/,"Сноуборд Nidecker Play предлагает райдерам начального уровня надежную доску для быстрого прогресса из сезона в сезон. Play - это доска, которая идеально подходит для расслабленного катания по трассе или изучения ваших первых трюков в парке.  ",https://main-cdn.sbermegamarket.ru/big2/hlr-system/205/085/575/553/022/46/100068651141b0.jpg